date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:40	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jan%202025%2010:28:40%20GMT	https://html.themeholy.com/robots.txt		(from )
15:58:40	75926/75926	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Nov%202024%2008:43:20%20GMT	https://html.themeholy.com/tourm/demo/	D:/design/holiday/html.themeholy.com/tourm/demo/index.html	(from )
15:58:40	1800/1800	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Nov%202024%2008:43:32%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-57x57.png	D:/design/holiday/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-57x57.png	(from https://html.themeholy.com/tourm/demo/)
15:58:41	1868/1868	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Nov%202024%2008:43:32%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-60x60.png	D:/design/holiday/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-60x60.png	(from https://html.themeholy.com/tourm/demo/)
15:58:41	1836/1836	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Nov%202024%2008:43:33%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-72x72.png	D:/design/holiday/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-72x72.png	(from https://html.themeholy.com/tourm/demo/)
15:58:41	1895/1895	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Nov%202024%2008:43:33%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-76x76.png	D:/design/holiday/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-76x76.png	(from https://html.themeholy.com/tourm/demo/)
15:58:42	2774/2774	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Nov%202024%2008:43:32%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-114x114.png	D:/design/holiday/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-114x114.png	(from https://html.themeholy.com/tourm/demo/)
15:58:42	2936/2936	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Nov%202024%2008:43:32%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-120x120.png	D:/design/holiday/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-120x120.png	(from https://html.themeholy.com/tourm/demo/)
15:58:42	3585/3585	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Nov%202024%2008:43:32%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-144x144.png	D:/design/holiday/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-144x144.png	(from https://html.themeholy.com/tourm/demo/)
15:58:43	3840/3840	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Nov%202024%2008:43:32%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-152x152.png	D:/design/holiday/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-152x152.png	(from https://html.themeholy.com/tourm/demo/)
